Run,Event,Type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
149181,1585859676,G,33.0386,1.69753,-9.14289,31.7027,9.29914,1.94047,-1.38722,-1,G,8.1433,1.39288,-3.62804,7.15537,3.88623,1.37028,-1.20423,1,3.65354
149181,1585888140,G,10.2588,-0.592908,-2.05564,10.0327,2.13944,2.24964,-1.85161,1,G,12.6944,-1.20639,4.06195,11.9658,4.23731,1.76124,1.8595,1,5.97085
149181,1585914092,G,16.1902,-1.64158,3.34081,-15.7561,3.72233,-2.1497,2.02752,-1,G,8.56733,-0.932139,4.40972,7.28515,4.50717,1.25762,1.77911,-1,21.7826
149181,1585916116,G,13.7316,-1.27045,3.55042,13.2033,3.77088,1.9661,1.91443,1,G,7.84849,1.31195,3.25578,7.019,3.51017,1.44346,1.18774,-1,3.23025
149181,1585919212,G,32.6915,-2.50197,-12.2997,-30.1857,12.5516,-1.61134,-1.77148,1,T,5.87316,0.190074,-1.31137,-5.72075,1.32508,-2.16893,-1.42686,1,2.71083
149181,1585998668,G,6.97701,3.00628,4.36827,4.53299,5.30278,0.774916,0.968028,-1,G,5.21201,-5.12682,0.208665,0.908845,5.13107,0.176213,3.10091,-1,9.67023
149181,1586018348,G,13.0475,2.4498,2.35202,12.5974,3.3961,2.0217,0.765036,1,G,13.6291,3.33884,4.48568,12.4287,5.59189,1.53898,0.930933,-1,2.25341
149181,1586020820,G,13.6661,-2.39226,2.56226,13.2085,3.50544,2.03685,2.3219,-1,T,2.85791,-1.08435,-0.473377,2.59935,1.18317,1.52839,-2.72997,1,2.58968
149181,1586037980,G,6.58472,3.73018,4.5622,-2.93591,5.89304,-0.479601,0.885399,1,G,7.11861,-4.99541,-5.06716,-0.182315,7.11549,-0.0256194,-2.34906,-1,13.2741
149181,1586087116,G,4.87541,1.59335,-4.31458,-1.61373,4.59938,-0.344032,-1.21704,-1,G,5.38963,0.695609,4.04826,3.48779,4.10759,0.770558,1.40063,1,9.82592
149181,1586111876,G,19.022,7.59057,2.34733,17.2829,7.94524,1.51937,0.299915,1,G,9.25842,4.7981,-0.621516,7.89297,4.83819,1.2655,-0.128816,-1,3.08216
149181,1586094884,G,26.4856,11.7634,-5.98412,-22.9627,13.198,-1.32086,-0.470587,-1,T,3.91474,1.00761,0.881393,3.67722,1.3387,1.7352,0.718682,1,19.0555
149181,1586165500,G,5.23299,-1.1684,-3.22041,3.95434,3.42582,0.98637,-1.91884,1,G,5.08949,1.90049,-3.39112,3.28332,3.88736,0.767129,-1.05998,-1,3.14985
149181,1586201436,G,17.0835,8.64281,13.1226,6.70321,15.7131,0.414618,0.988387,-1,T,3.11414,0.385046,0.875692,-2.96168,0.956607,-1.84838,1.15654,-1,10.7931
149181,1586226884,G,13.218,-0.871686,-3.11858,12.8148,3.23812,2.08435,-1.84335,-1,T,3.08683,1.05007,-0.614437,2.83499,1.21663,1.58225,-0.529419,1,2.63903
149181,1585443277,G,11.246,2.29079,-2.26433,-10.7744,3.22101,-1.92225,-0.77959,1,T,5.00868,-2.79507,3.76843,1.74993,4.69185,0.364824,2.20897,-1,13.426
149181,1585451061,G,9.92854,-2.71613,2.78043,-9.13546,3.88692,-1.59016,2.3445,-1,G,34.4264,-8.31023,-14.1225,-30.2765,16.3861,-1.37337,-2.10267,1,12.8001
149181,1585460901,G,8.76929,-0.954213,2.9829,8.1903,3.1318,1.68919,1.8804,1,G,7.26062,1.91294,-2.36012,6.59363,3.03801,1.51734,-0.889669,-1,6.08985
149181,1585470821,G,15.3965,4.60494,-1.24852,14.6382,4.77119,1.83974,-0.264762,1,G,6.68168,-1.10316,-5.29553,3.92098,5.40921,0.672922,-1.77618,-1,9.37634
149181,1585478813,G,8.96414,-0.546462,5.1322,-7.32848,5.16121,-1.1495,1.67687,1,G,5.70624,-4.01952,-2.91058,-2.81461,4.96266,-0.540459,-2.51487,1,9.30345
149181,1585511253,G,13.2951,0.786412,-3.68336,12.75,3.76638,1.9337,-1.36045,1,G,24.6824,2.72225,3.50678,24.2796,4.43939,2.40052,0.910686,1,7.665
149181,1585524997,G,6.33648,-2.20534,-3.03223,-5.10704,3.74939,-1.11575,-2.19961,1,G,5.10978,2.5662,-3.64393,-2.49702,4.45686,-0.534454,-0.957231,-1,5.33796
149181,1585631021,G,27.7924,14.7656,8.88297,21.8054,17.2316,1.05719,0.541595,-1,G,8.49309,-8.25691,1.95397,-0.356062,8.48496,-0.0419516,2.90922,1,26.3962
149181,1585658389,G,16.594,-3.56072,-6.79026,14.7161,7.66723,1.40698,-2.05376,1,G,10.6126,-4.63483,-3.74672,8.78048,5.95983,1.17985,-2.46176,-1,3.14897
149181,1585672501,G,9.53063,-4.97815,-2.82027,7.6214,5.72153,1.09785,-2.62615,1,G,5.1354,-4.25022,-1.55711,2.42327,4.52647,0.512609,-2.79042,-1,3.14208
149181,1585671021,G,15.8337,-0.483193,-6.07296,14.6144,6.09215,1.60901,-1.65019,1,T,7.05985,0.389448,-1.57006,6.87121,1.61764,2.15309,-1.32766,1,2.01463
149181,1585695429,G,20.8163,2.58801,10.5699,-17.7451,10.8821,-1.26513,1.33067,1,G,5.10096,-2.44316,-4.22192,-1.48827,4.87787,-0.300561,-2.0954,-1,16.1699
